marry,fgetty,0.6-5build1
marry,file,1:5.14-2ubuntu3.2
marry,findutils,4.4.2-7
marry,fontconfig,2.11.0-0ubuntu4.1
marry,fontconfig-config,2.11.0-0ubuntu4.1
marry,fonts-dejavu-core,2.34-1ubuntu1
marry,fonts-dejavu-extra,2.34-1ubuntu1
marry,fonts-ubuntu-font-family-console,0.80-0ubuntu6
marry,fop,1:1.1.dfsg-2ubuntu1
marry,friendly-recovery,0.2.25
marry,ftp,0.17-28
marry,fuse,2.9.2-4ubuntu4
marry,g++,4:4.8.2-1ubuntu6
marry,g++-4.8,4.8.2-19ubuntu1
marry,gawk,1:4.0.1+dfsg-2.1ubuntu2
marry,gcc,4:4.8.2-1ubuntu6
marry,gcc-4.8,4.8.2-19ubuntu1
marry,gcc-4.8-base,4.8.2-19ubuntu1
marry,gcc-4.9-base,4.9.1-0ubuntu1
marry,gconf-service,3.2.6-0ubuntu2
marry,gconf-service-backend,3.2.6-0ubuntu2
marry,gconf2,3.2.6-0ubuntu2
marry,gconf2-common,3.2.6-0ubuntu2
marry,gdisk,0.8.8-1build1
marry,geoip-database,20140313-1
marry,gettext-base,0.18.3.1-1ubuntu3
marry,gir1.2-glib-2.0,1.40.0-1ubuntu0.2
marry,git,1:1.9.1-1
marry,git-man,1:1.9.1-1
marry,gnupg,1.4.16-1ubuntu2.1
marry,gpgv,1.4.16-1ubuntu2.1
marry,grep,2.16-1
marry,groff-base,1.22.2-5
marry,grub-common,2.02~beta2-9ubuntu1
marry,grub-gfxpayload-lists,0.6
marry,grub-pc,2.02~beta2-9ubuntu1
marry,grub-pc-bin,2.02~beta2-9ubuntu1
marry,grub2-common,2.02~beta2-9ubuntu1
marry,guile-2.0-libs,2.0.9+1-1ubuntu1
marry,gvfs,1.20.1-1ubuntu1
marry,gvfs-common,1.20.1-1ubuntu1
marry,gvfs-daemons,1.20.1-1ubuntu1
marry,gvfs-libs,1.20.1-1ubuntu1
marry,gzip,1.6-3ubuntu1
marry,hdparm,9.43-1ubuntu3
marry,hicolor-icon-theme,0.13-1
marry,hostname,3.15ubuntu1
marry,ifupdown,0.7.47.2ubuntu4.1
marry,info,5.2.0.dfsg.1-2
marry,init-system-helpers,1.14
marry,initramfs-tools,0.103ubuntu4.2
marry,initramfs-tools-bin,0.103ubuntu4.2
marry,initscripts,2.88dsf-41ubuntu6
marry,insserv,1.14.0-5ubuntu2
marry,install-info,5.2.0.dfsg.1-2
marry,iproute2,3.12.0-2
marry,iptables,1.4.21-1ubuntu1
marry,iputils-ping,3:20121221-4ubuntu1.1
marry,iputils-tracepath,3:20121221-4ubuntu1.1
marry,irqbalance,1.0.6-2ubuntu0.14.04.1
marry,isc-dhcp-client,4.2.4-7ubuntu12
marry,isc-dhcp-common,4.2.4-7ubuntu12
marry,iso-codes,3.52-1
marry,java-common,0.51
marry,java-wrappers,0.1.27
marry,juju,1.18.4+dfsg-0ubuntu0.14.04.1
marry,juju-core,1.18.4+dfsg-0ubuntu0.14.04.1
marry,junit,3.8.2-8build1
marry,junit4,4.11-2
marry,kbd,1.15.5-1ubuntu1
marry,keyboard-configuration,1.70ubuntu8
marry,klibc-utils,2.0.3-0ubuntu1
marry,kmod,15-0ubuntu6
marry,krb5-locales,1.12+dfsg-2ubuntu4.2
marry,landscape-client,14.01-0ubuntu3
marry,landscape-common,14.01-0ubuntu3
marry,language-selector-common,0.129.3
marry,laptop-detect,0.13.7ubuntu2
marry,less,458-2
marry,libaccountsservice0,0.6.35-0ubuntu7.1
marry,libacl1,2.2.52-1
marry,libaether-java,1.13.1-2
marry,libalgorithm-diff-perl,1.19.02-3
marry,libalgorithm-diff-xs-perl,0.04-2build4
marry,libalgorithm-merge-perl,0.08-2
marry,libaopalliance-java,20070526-5
marry,libapache-pom-java,10-2build1
marry,libapparmor-perl,2.8.95~2430-0ubuntu5
marry,libapparmor1,2.8.95~2430-0ubuntu5
marry,libapt-inst1.5,1.0.1ubuntu2.4.1
marry,libapt-pkg4.12,1.0.1ubuntu2.4.1
marry,libarchive-extract-perl,0.70-1
marry,libasan0,4.8.2-19ubuntu1
marry,libasm3-java,3.3.2-2
marry,libasn1-8-heimdal,1.6~git20131207+dfsg-1ubuntu1
marry,libasound2,1.0.27.2-3ubuntu7
marry,libasound2-data,1.0.27.2-3ubuntu7
marry,libaspectj-java,1.6.12+dfsg-3
marry,libasprintf0c2,0.18.3.1-1ubuntu3
marry,libasync-http-client-java,1.6.5-2
marry,libasyncns0,0.8-4ubuntu2
marry,libatasmart4,0.19-3
marry,libatinject-jsr330-api-java,1.0+ds1-1
marry,libatk-bridge2.0-0,2.10.2-2ubuntu1
marry,libatk-wrapper-java,0.30.4-4
marry,libatk-wrapper-java-jni,0.30.4-4
marry,libatk1.0-0,2.10.0-2ubuntu2
marry,libatk1.0-data,2.10.0-2ubuntu2
marry,libatomic1,4.8.2-19ubuntu1
marry,libatspi2.0-0,2.10.2.is.2.10.1-0ubuntu1
marry,libattr1,1:2.4.47-1ubuntu1
marry,libaudit-common,1:2.3.2-2ubuntu1
marry,libaudit1,1:2.3.2-2ubuntu1
marry,libaugeas0,1.2.0-0ubuntu1.1
marry,libavahi-client3,0.6.31-4ubuntu1
marry,libavahi-common-data,0.6.31-4ubuntu1
marry,libavahi-common3,0.6.31-4ubuntu1
marry,libavahi-glib1,0.6.31-4ubuntu1
marry,libavalon-framework-java,4.2.0-9
marry,libbatik-java,1.7.ubuntu-8ubuntu2
marry,libbind9-90,1:9.9.5.dfsg-3
marry,libblkid1,2.20.1-5.1ubuntu20.2
marry,libbonobo2-0,2.32.1-0ubuntu5
marry,libbonobo2-common,2.32.1-0ubuntu5
marry,libboost-iostreams1.54.0,1.54.0-4ubuntu3.1
marry,libbsd0,0.6.0-2ubuntu1
marry,libbsf-java,1:2.4.0-5build1
marry,libbsh-java,2.0b4-15
marry,libbz2-1.0,1.0.6-5
marry,libc-bin,2.19-0ubuntu6.3
marry,libc-dev-bin,2.19-0ubuntu6.3
marry,libc6,2.19-0ubuntu6.3
marry,libc6-dev,2.19-0ubuntu6.3
marry,libcairo-gobject2,1.13.0~20140204-0ubuntu1
marry,libcairo2,1.13.0~20140204-0ubuntu1
marry,libcanberra0,0.30-0ubuntu3
marry,libcap-ng0,0.7.3-1ubuntu2
marry,libcap2,1:2.24-0ubuntu2
marry,libcap2-bin,1:2.24-0ubuntu2
marry,libcdi-api-java,1.0-1
marry,libcglib-java,2.2.2+dfsg-5
marry,libcgmanager0,0.24-0ubuntu7
marry,libck-connector0,0.4.5-3.1ubuntu2
marry,libclass-accessor-perl,0.34-1
marry,libclassworlds-java,1.1-final-5
marry,libcloog-isl4,0.18.2-1
marry,libcolord1,1.0.6-1
marry,libcolorhug1,1.0.6-1
marry,libcomerr2,1.42.9-3ubuntu1
marry,libcommons-beanutils-java,1.9.1-1
marry,libcommons-cli-java,1.2-3ubuntu1
marry,libcommons-codec-java,1.9-1
marry,libcommons-collections3-java,3.2.1-6
marry,libcommons-configuration-java,1.10-1
marry,libcommons-digester-java,1.8.1-4
marry,libcommons-httpclient-java,3.1-10.2
marry,libcommons-io-java,2.4-2
marry,libcommons-jexl2-java,2.1.1-2
marry,libcommons-jxpath-java,1.3-6
marry,libcommons-lang-java,2.6-3ubuntu2
marry,libcommons-logging-java,1.1.3-1
marry,libcommons-net2-java,2.2-2
marry,libcommons-parent-java,22-2build1
marry,libcommons-vfs-java,2.0-3ubuntu1
marry,libcryptsetup4,2:1.6.1-1ubuntu1
marry,libcups2,1.7.2-0ubuntu1.2
marry,libcurl3,7.35.0-1ubuntu2.1
marry,libcurl3-gnutls,7.35.0-1ubuntu2.1
marry,libcwidget3,0.5.16-3.5ubuntu1
marry,libdatrie1,0.2.8-1
marry,libdb5.3,5.3.28-3ubuntu3
marry,libdbus-1-3,1.6.18-0ubuntu4.2
marry,libdbus-glib-1-2,0.100.2-1
marry,libdconf1,0.20.0-1
marry,libdebconfclient0,0.187ubuntu1
marry,libdevmapper1.02.1,2:1.02.77-6ubuntu2
marry,libdns100,1:9.9.5.dfsg-3
marry,libdom4j-java,1.6.1+dfsg.3-2ubuntu1
marry,libdoxia-java,1.1.4-1ubuntu4
marry,libdpkg-perl,1.17.5ubuntu5.3
marry,libdrm-intel1,2.4.52-1
marry,libdrm-nouveau2,2.4.52-1
marry,libdrm-radeon1,2.4.52-1
marry,libdrm2,2.4.52-1
marry,libdumbnet1,1.12-4build1
marry,libeasymock-java,2.5.2+ds-1
marry,libedit2,3.1-20130712-2
marry,libelf1,0.158-0ubuntu5.1
marry,libept1.4.12,1.0.12
marry,liberror-perl,0.17-1.1
marry,libestr0,0.1.9-0ubuntu2
marry,libevent-2.0-5,2.0.21-stable-1ubuntu1
marry,libexif12,0.6.21-1ubuntu1
marry,libexpat1,2.1.0-4ubuntu1
