StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
09:38:18.397745, e *      ,tcp,10.32.92.230,58108, ->,69.42.215.170,ircd,10,712,RST
09:38:18.401598, e *      ,tcp,10.32.92.230,58109, ->,69.42.215.170,ircd,10,712,RST
09:38:19.219726, e        ,udp,10.32.92.230,60364, ->,70.0.0.1,domain,4,280,INT
09:38:19.294645, e        ,udp,10.32.92.230,48464, ->,70.0.0.1,domain,4,280,INT
09:38:19.448697, e        ,udp,10.32.92.5,netbios-dgm, ->,10.255.255.255,netbios-dgm,8,1944,INT
09:38:20.399674, e *      ,tcp,10.32.92.230,58110, ->,69.42.215.170,ircd,10,712,RST
09:38:20.403012, e *      ,tcp,10.32.92.230,58111, ->,69.42.215.170,ircd,10,712,RST
09:38:21.936898, e        ,icmp,212.110.79.74,0x0000,<-,10.32.92.230,0x0a1a,2,2116,ECR
09:38:22.401553, e *      ,tcp,10.32.92.230,58112, ->,69.42.215.170,ircd,10,712,RST
09:38:22.404490, e *      ,tcp,10.32.92.230,58113, ->,69.42.215.170,ircd,12,844,RST
09:38:23.443328, e s      ,tcp,10.32.92.5,23398, ->,172.10.0.6,bb,6,388,REQ
09:38:24.403474, e *      ,tcp,10.32.92.230,58114, ->,69.42.215.170,ircd,12,844,RST
09:38:24.406022, e *      ,tcp,10.32.92.230,58115, ->,69.42.215.170,ircd,10,712,RST
09:38:26.405447, e *      ,tcp,10.32.92.230,58116, ->,69.42.215.170,ircd,10,712,RST
09:38:26.407538, e *      ,tcp,10.32.92.230,58117, ->,69.42.215.170,ircd,10,712,RST
09:38:27.423981, e        ,udp,10.32.92.230,33463, ->,70.0.0.1,domain,4,348,INT
09:38:28.407306, e *      ,tcp,10.32.92.230,58118, ->,69.42.215.170,ircd,10,712,RST
09:38:28.409165, e *      ,tcp,10.32.92.230,58119, ->,69.42.215.170,ircd,12,844,RST
09:38:29.221063, e        ,udp,10.32.92.230,36446, ->,70.0.0.1,domain,4,280,INT
